"id","delivery_person_id","deliverypersonage","deliverypersonratings","restaurant_latitude","restaurant_longitude","delivery_location_latitude","delivery_location_longitude","order_date","weather","road_traffic_density","vehicle_condition","type_of_order","type_of_vehicle","multiple_deliveries","festival","city","name","time_ordered","time_order_picked"
"0x2318",COIMBRES13DEL01,,,11.003669,76.976494,11.043669,77.016494,2022-03-30,,,3,Drinks,electric_scooter,1.000000,false,Metropolitian,object,,15:05:00
"0x3474",BANGRES15DEL01,28.000000,4.600000,12.975377,77.696664,13.085377,77.806664,2022-03-29,Windy,Jam,0,Snack,motorcycle,1.000000,false,Metropolitian,object,20:30:00,20:35:00
"0x9420",JAPRES09DEL03,23.000000,4.500000,26.911378,75.789034,27.001378,75.879034,2022-03-10,Stormy,Jam,0,Drinks,motorcycle,1.000000,false,Metropolitian,object,19:35:00,19:45:00
"0x72ee",JAPRES07DEL03,21.000000,4.800000,26.766536,75.837333,26.856536,75.927333,2022-04-02,Fog,Medium,1,Meal,scooter,1.000000,false,Metropolitian,object,17:15:00,17:20:00
"0xa759",CHENRES19DEL01,31.000000,4.600000,12.986047,80.218114,13.096047,80.328114,2022-03-27,Sunny,Medium,2,Drinks,scooter,1.000000,false,Metropolitian,object,18:25:00,18:40:00
"0xc4af",GOARES04DEL01,26.000000,4.700000,15.569600,73.742294,15.579600,73.752294,2022-02-15,Fog,Low,0,Drinks,motorcycle,1.000000,false,Metropolitian,object,09:45:00,09:55:00
"0x3b9d",BANGRES19DEL02,23.000000,4.800000,12.914264,77.678400,12.934264,77.698400,2022-04-01,Windy,Low,2,Buffet,scooter,0.000000,false,Urban,object,10:00:00,10:05:00
"0xdd42",KOLRES06DEL02,26.000000,4.800000,22.533662,88.366217,22.583662,88.416217,2022-02-13,Windy,Medium,0,Meal,motorcycle,1.000000,false,Metropolitian,object,18:00:00,18:05:00
"0x872b",MYSRES05DEL03,35.000000,4.900000,12.323978,76.627961,12.413978,76.717961,2022-03-02,Cloudy,Jam,2,Snack,scooter,1.000000,false,Metropolitian,object,21:30:00,21:45:00
"0x6001",HYDRES04DEL03,23.000000,4.900000,17.411028,78.329645,17.441028,78.359645,2022-04-05,Fog,Jam,1,Meal,motorcycle,0.000000,false,Metropolitian,object,20:45:00,20:55:00
"0xd845",KOCRES09DEL01,24.000000,4.800000,10.000706,76.349516,10.040706,76.389516,2022-02-17,Stormy,High,2,Snack,motorcycle,1.000000,false,Metropolitian,object,14:35:00,14:40:00
"0x4946",VADRES04DEL01,22.00,4.60,0.00,0.00,0.11,0.11,2022-03-08,Windy,Low,1,Drinks,scooter,,false,Urban,object,23:40:00,23:50:00
"0x4598",RANCHIRES14DEL03,35.00,4.80,0.00,0.00,0.06,0.06,2022-04-01,Sunny,Low,2,Snack,scooter,0.00,false,Metropolitian,object,22:15:00,22:25:00
"0xbd51",BANGRES11DEL01,33.000000,4.800000,12.934365,77.616155,13.044365,77.726155,2022-03-16,Windy,Low,2,Drinks,electric_scooter,0.000000,false,Urban,object,23:40:00,23:55:00
"0x73ec",RANCHIRES010DEL03,36.000000,4.600000,23.354422,85.332900,23.414422,85.392900,2022-03-17,Fog,Jam,1,Meal,scooter,0.000000,false,Metropolitian,object,21:30:00,21:40:00
"0x5ca7",HYDRES19DEL03,34.000000,4.600000,17.458998,78.500366,17.488998,78.530366,2022-04-01,Cloudy,Jam,2,Snack,electric_scooter,0.000000,false,Metropolitian,object,20:35:00,20:50:00
"0x9fa6",COIMBRES03DEL03,38.000000,4.200000,11.025083,77.015393,11.055083,77.045393,2022-03-15,Windy,Jam,2,Buffet,motorcycle,1.000000,false,Metropolitian,object,20:30:00,20:35:00
"0x914e",HYDRES12DEL02,34.000000,4.600000,17.429585,78.392621,17.559585,78.522621,2022-03-14,Sunny,Jam,2,Snack,scooter,0.000000,false,Metropolitian,object,21:55:00,22:10:00
"0x36e5",CHENRES20DEL03,37.000000,4.700000,12.975996,80.221898,13.005996,80.251898,2022-03-24,Cloudy,Medium,2,Snack,scooter,0.000000,false,Metropolitian,object,18:35:00,18:50:00
"0xd82e",KOCRES09DEL02,21.000000,4.500000,10.000706,76.349516,10.130706,76.479516,2022-02-16,Stormy,Jam,1,Drinks,scooter,1.000000,false,Urban,object,21:20:00,21:25:00
